Melvin;99;99
Melyna;99;99
Meredith;99;99
Meriadec;7;6
Meryl;99;99
Michael;29;9
Michel;29;9
Michele;29;9
Micheline;19;6
Michelle;29;9
Miguel;29;9
Mikael;29;9
Mike;29;9
Mildred;13;7
Milene;19;8
Milo;99;99
Miloud;22;5
Mireille;15;8
Miriam;15;8
Modeste;24;2
Moise;4;9
Monica;27;8
Monique;27;8
Morgane;8;10
Mortimer;99;99
Morvan;22;9
Moshe;4;9
Muguet;1;5
Muguette;1;5
Murielle;15;8
Mylene;15;8
Myriam;15;8
Myrtille;5;10
Nadette;18;2
Nadege;18;9
Nadia;18;9
Nadine;18;2
Nahum;1;12
Nancy;26;7
Narcisse;29;10
Natacha;26;8
Natalya;99;99
Nathalie;27;7
Nathan;24;8
Nathanaelle;24;8
Neil;99;99
Nello;25;12
Nelly;18;8
Nestor;26;2
Nicolas;6;12
Nicole;6;3
Nicoletta;6;3
Nikita;31;1
Ninon;6;12
Nina;14;1
Ninon;15;12
Noe;10;11
Noel;25;12
Noeline;99;99
Noelle;25;12
Noemie;21;8
Nolwenn;6;7
Nora;25;6
Norbert;6;6
Oceane;26;7
Octave;20;11
Octavie;20;11
Octavien;6;8
Odette;20;4
Odile;14;12
Odilon;4;1
Olga;11;7
Olive;5;3
Olivette;5;3
Olivia;5;3
Olivier;12;7
Ombeline;21;8
Omer;9;9
Ophelie;99;99
Oriane;4;10
Orianne;4;10
Oscar;3;2
Oswald;5;8
Otmar;16;11
Pablo;29;6
Paco;24;1
PacOme;9;5
Pamela;16;2
Pamphile;16;2
Paola;26;1
Paquerette;5;10
Paquita;12;12
Paquito;24;1
Parfait;18;4
Pascal;17;5
Pascale;17;5
Paterne;15;4
Patrice;17;3
Patricia;17;3
Patrick;17;3
Paul;29;6
Paula;26;1
Paule;26;1
Paulette;26;1
Paulin;11;1
Pauline;26;1
Peggy;8;1
Pelagie;8;10
Perlette;16;10
Pernelle;31;5
Peroline;31;5
Perpetue;7;3
Perrette;31;5
Perrine;31;5
Perry;99;99
Pervenche;5;10
Peter;29;6
Philibert;20;8
Philiberte;20;8
Philippe;3;5
Philippine;3;5
Pierre;29;6
Pierrette;29;6
Pierrick;29;6
Pietro;29;6
Placie;5;10
Pol;12;3
Polycarpe;23;2
Primael;15;5
Prisca;18;1
Priscille;16;1
Privat;21;8
Prosper;25;6
Prudence;6;5
Quentin;31;10
Quitterie;22;5
Rabi;99;99
Rachel;15;1
Rachilde;23;11
Radegonde;13;8
Rainier;17;6
Raissa;5;9
Ralph;21;6
Raoul;7;7
Raphael;29;9
Raphaelle;29;9
Raymond;7;1
Raymonde;7;1
Rebecca;23;3
Reginald;17;9
Regine;23;10
Regis;16;6
Regnault;16;9
Reine;7;9
Rejane;23;10
Remi;15;1
Renald;17;9
Renaud;17;9
Renauld;17;9
Rene;19;10
Renee;19;10
Richard;3;4
Rita;22;5
Robert;30;4
Roberte;30;4
Robin;30;4
Roch;16;8
Rodolphe;21;6
Rodrigue;13;3
Rogatien;24;5
Roger;30;12
Roland;15;9
Rolande;13;5
Romain;28;2
Roman;99;99
Romaric;10;12
Romeo;25;2
Romuald;19;6
Ronald;17;9
Ronan;1;6
Roparz;30;4
Rosalie;4;9
Rosana;23;8
Rose;23;8
Roselyne;17;1
Roseline;17;1
Rosemonde;30;4
Rosette;23;8
Rosine;11;3
Rosita;23;8
Rosy;23;8
Roxanne;99;99
Rozenn;23;8
Rudy;21;6
Ruffin;14;6
Sabine;29;8
Sabrina;29;8
Sacha;30;8
Salomon;25;6
Salvatore;18;3
Samson;28;7
Samuel;20;8
Samy;20;8
Sandie;2;4
Sandra;2;4
Sandrine;2;4
Sandy;2;4
Sara;9;10
Saturnin;29;11
Sebastien;20;1
Segolene;24;7
Selma;21;4
Seraphin;12;10
Serge;7;10
Sergine;7;10
Servan;1;7
Servane;1;7
Severin;27;11
Severine;27;11
Sheila;22;11
Sibille;9;10
Sidoine;14;11
Sidonie;14;11
Siegfried;22;8
Sigolene;99;99
Silvere;20;6
Simeon;18;2
Simon;28;10
Simone;28;10
Sofia;25;5
Soizic;24;1
Solal;99;99
Solange;10;5
Soledad;11;10
Solenne;17;10
Soline;17;10
Sonia;18;9
Sophie;25;5
Sophien;99;99
Stanislas;11;4
Stella;11;5
Stehane;26;12
Stephanie;26;12
Steve;26;12
Suzanne;11;8
Suzel;11;8
Suzette;11;8
Suzon;11;8
Suzy;11;8
Svetlana;20;3
Sybil;9;11
Sylvain;4;5
Sylvaine;4;5
Sylvestre;31;12
Sylvette;5;11
Sylvia;5;11
Sylviane;5;11
Sylvianne;5;11
Sylvie;5;11
Symphorien;22;8
Tabatha;99;99
Tabhita;99;99
Tamara;1;5
Tanguy;19;11
Tania;12;1
Tara;99;99
Tarsice;15;1
Tatiana;12;1
Tatienne;12;1
Teddy;5;1
Teresa;15;10
Tessa;17;12
Thaddee;28;10
Thecle;24;9
Theodore;9;11
Theophane;2;2
Theophile;20;12
Theotime;99;99
Therese;1;10
Therese;15;10
Thibaud;8;7
Thiebaud;8;7
Thierry;1;7
Thomas;3;7
Thomas (d'Aquin);28;1
Tino;14;2
Tino;21;5
Timothee;99;99
Tiphaine;6;1
Titouan;99;99
Toussaint;1;11
Toussainte;1;11
Tristan;12;11
Tudal;1;12
Tudi;9;5
Ugo;1;4
Ulrich;10;7
Urbain;19;12
Urielle;1;10
Ursula;21;10
Ursule;21;10
Valentin;14;2
Valentine;25;7
Valere;14;6
Valerie;28;4
Valery;1;4
Vanessa;4;2
Vanina;4;2
Vassili;2;1
Venceslas;28;9
Vera;18;9
Verane;11;11
Veronique;4;2
Vianney;4;8
Vickie;99;99
Victoire;15;11
Victor;21;7
Victorien;23;3
Vincent;22;1
Vincent(de Paul);27;9
Vinciane;11;9
Violaine;5;10
Violette;5;10
Virgile;10;10
Virginie;7;1
Viridiana;1;2
Vital;4;11
Viviane;2;12
Vivien;10;3
Vladimir;15;7
Walter;9;4
Weena;16;5
Wenceslas;28;9
Wendy;99;99
Werner;19;4
Wesley;99;99
Wilfried;12;10
William;10;1
Willy;10;1
Winnoc;6;11
Wladimir;15;7
Wolfgang;31;10
Wulfran;20;3
Xavier;3;12
Xaviere;22;12
Yann;27;12
Yannick;27;12
Yoann;24;6
Yolaine;99;99
Yolande;11;6
Youri;23;4
Ysaline;99;99
Yvan;27;12
Yves;19;5
Yvette;13;1
Yvon;19;5
Yvonne;19;5
Zacharie;5;11
Zelie;17;10
Zephirin;20;12
Zita;27;4
Zoe;2;5 
